Investors,InvestorLink,Latest,Seed,Growth,Legal,GRC,RiskTech,FinTech,WealthTech,Participation
Y Combinator,https://www.crunchbase.com/organization/y-combinator,Oct 2024,954,497,119,441,81,394,58,96915675386
Alumni Ventures,https://www.crunchbase.com/organization/alumni-ventures-group,Oct 2024,278,531,71,220,79,236,47,114897518367
M25,https://www.crunchbase.com/organization/M25-VC,Oct 2024,34,12,36,7,0,0,3,397820000
AltaIR Capital,https://www.crunchbase.com/organization/altair,Oct 2024,43,54,34,8,6,10,22,2458026750
Atomico,https://www.crunchbase.com/organization/atomico,Oct 2024,9,113,32,46,0,18,0,45774690946
UBS,https://www.crunchbase.com/organization/ubs,Oct 2024,12,73,24,5,0,28,15,288885665721
Google Ventures,https://www.crunchbase.com/organization/google-ventures,Oct 2024,12,219,24,53,38,47,0,74659945716
General Catalyst,https://www.crunchbase.com/organization/general-catalyst-partners,Oct 2024,64,428,23,157,48,192,5,379943734774
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,Oct 2024,7,489,20,66,49,283,21,573900999607
SBVA,https://www.crunchbase.com/organization/softbank-ventures-korea,Oct 2024,0,24,19,0,0,0,0,1362948516
DST Global,https://www.crunchbase.com/organization/digital-sky-technologies-fo,Oct 2024,2,172,19,19,0,129,6,85303206788
Bpifrance,https://www.crunchbase.com/organization/bpifrance,Oct 2024,54,110,18,38,18,39,20,21633921190
Celesta Capital,https://www.crunchbase.com/organization/wrvi-capital,Oct 2024,5,50,18,17,4,5,0,3166173662
QuantumLight,https://www.crunchbase.com/organization/quantum-light,Oct 2024,0,16,16,0,0,0,0,694275809
Elevate Ventures,https://www.crunchbase.com/organization/elevate-ventures,Oct 2024,33,39,13,20,10,18,0,1230050000
Atinum Partners,https://www.crunchbase.com/organization/atinum-partners,Oct 2024,0,43,12,0,0,29,0,6616285754
3VC,https://www.crunchbase.com/organization/3vc,Oct 2024,2,19,12,5,0,4,0,813670496
Mitsui & Co,https://www.crunchbase.com/organization/mitsui,Oct 2024,0,44,10,20,3,0,0,13976508000
Mucker Capital,https://www.crunchbase.com/organization/muckercapital,Oct 2024,48,45,9,35,14,18,8,2487410000
Citi,https://www.crunchbase.com/organization/citigroup,Oct 2024,9,296,9,55,15,160,45,522212541571
10x Founders,https://www.crunchbase.com/organization/10x-founders,Oct 2024,28,4,8,4,1,7,0,270971728
Gávea Angels,https://www.crunchbase.com/organization/gvea-angels,Oct 2024,0,7,7,0,0,0,0,17500000
SignalFire,https://www.crunchbase.com/organization/signal-fire,Oct 2024,40,109,7,60,5,31,9,7000875000
Reid Hoffman,https://www.crunchbase.com/person/reid-hoffman,Oct 2024,7,6,6,3,0,1,0,3184520000
Drive Capital,https://www.crunchbase.com/organization/drive-capital,Oct 2024,22,90,6,32,0,48,4,19770550892
Everywhere Ventures,https://www.crunchbase.com/organization/everywhere-ventures,Oct 2024,10,4,5,4,0,4,0,502109544
Acrew Capital,https://www.crunchbase.com/organization/acrew-capital,Oct 2024,17,119,5,15,37,72,4,23583380400
Michele Catasta,https://www.crunchbase.com/person/michele-catasta-6dcf,Oct 2024,5,0,4,0,0,0,0,81148964
Kai Romberg,https://www.crunchbase.com/person/kai-romberg,Oct 2024,4,0,4,0,0,0,0,19406992
"Johann ""Hansi"" Hansmann",https://www.crunchbase.com/person/hansi-hansmann,Oct 2024,4,0,4,0,0,0,0,19406992
Akshay Kothari,https://www.crunchbase.com/person/akshay-kothari,Oct 2024,7,13,4,3,0,0,0,1611100000
Morgan Stanley,https://www.crunchbase.com/organization/morgan-stanley,Oct 2024,5,99,3,9,16,43,2,361734244544
TTV Capital,https://www.crunchbase.com/organization/ttv-capital,Oct 2024,33,113,3,20,14,76,15,17107552384
Touring Capital,https://www.crunchbase.com/organization/touring-capital,Oct 2024,0,18,3,0,0,0,0,1940000000
SoftBank Investment Advisers,https://www.crunchbase.com/organization/softbank-investment-advisers,Oct 2024,0,3,3,0,0,0,0,123000000
Sumitomo Mitsui Banking Corporation,https://www.crunchbase.com/organization/sumitomo-mitsui-banking-corporation,Oct 2024,1,61,3,6,0,39,0,305515332308
Altos Ventures,https://www.crunchbase.com/organization/altos-ventures,Oct 2024,7,66,3,4,0,55,0,25071694275
Partech,https://www.crunchbase.com/organization/partech,Oct 2024,41,130,2,22,28,73,34,11992704611
Spark Capital,https://www.crunchbase.com/organization/spark-capital,Oct 2024,38,207,2,42,21,71,39,224241932923
Wayra Brasil,https://www.crunchbase.com/organization/wayra-brasil,Oct 2024,4,2,2,4,0,0,0,7393300
Serena,https://www.crunchbase.com/organization/serena-capital,Oct 2024,8,12,2,6,4,1,1,1083290865
Wells Fargo,https://www.crunchbase.com/organization/wells-fargo-bank,Oct 2024,0,51,2,21,0,13,2,291316208763
Unusual Ventures,https://www.crunchbase.com/organization/unusual-ventures,Oct 2024,35,42,2,1,18,8,3,3738013100
a16z Scout Fund,https://www.crunchbase.com/organization/a16z-scout-fund,Oct 2024,3,2,2,0,0,2,0,26000000
SF Angels Group,https://www.crunchbase.com/organization/sf-angels-group,Oct 2024,0,2,2,0,0,0,0,0
Business Growth Fund,https://www.crunchbase.com/organization/business-growth-fund,Oct 2024,2,12,2,3,6,1,0,163625640
Genesia Ventures,https://www.crunchbase.com/organization/genesia-ventures,Oct 2024,13,2,2,11,2,0,0,46665214
Vivo Ventures,https://www.crunchbase.com/organization/vivo-ventures-8461,Oct 2024,0,2,2,0,0,0,0,0
Urca Angels,https://www.crunchbase.com/organization/urca-angels,Oct 2024,0,2,2,0,0,0,0,0
HSBC,https://www.crunchbase.com/organization/hsbc,Oct 2024,5,114,1,28,16,61,0,366704515575
Darkmode Ventures,https://www.crunchbase.com/organization/darkmode-ventures,Oct 2024,5,0,1,4,0,0,0,53924000
JP Morgan Chase,https://www.crunchbase.com/organization/jpmorgan-chase-co,Oct 2024,0,126,1,42,4,28,27,319741694797
7BC Venture Capital,https://www.crunchbase.com/organization/7bc-vc,Oct 2024,14,21,1,4,4,18,1,5588646000
Wing Venture Capital,https://www.crunchbase.com/organization/wing-venture-capital,Oct 2024,10,97,1,13,21,3,0,38917160000
PSG Equity,https://www.crunchbase.com/organization/psg-equity,Oct 2024,0,57,1,7,23,9,4,5080402000
f7 Ventures,https://www.crunchbase.com/organization/f7-ventures,Oct 2024,17,2,1,0,0,13,5,233630000
Google Digital News Initiative,https://www.crunchbase.com/organization/google-digital-news-initiative,Oct 2024,3,0,0,3,0,0,0,6600000
Paul Daugherty,https://www.crunchbase.com/person/paul-daugherty,Oct 2024,1,0,0,0,0,0,0,35000000
Latitude Ventures,https://www.crunchbase.com/organization/latitude-ventures-d212,Oct 2024,0,23,0,10,0,4,3,2101015990
Sysdig,https://www.crunchbase.com/organization/sysdig,Oct 2024,0,3,0,3,0,0,0,73500000
WaVe-X,https://www.crunchbase.com/organization/wave-x,Oct 2024,0,11,0,10,0,0,0,1182852980
Costanoa Ventures,https://www.crunchbase.com/organization/costanoaventures,Oct 2024,28,87,0,15,40,37,0,6734250000
Dynamic Loop Capital,https://www.crunchbase.com/organization/dynamic-loop-capital,Oct 2024,0,6,0,0,0,6,0,567000000
CerraCap Ventures,https://www.crunchbase.com/organization/cerracap-ventures,Oct 2024,11,0,0,4,0,0,7,38400000
FIRSTPICK,https://www.crunchbase.com/organization/firstpick,Oct 2024,10,0,0,7,1,2,0,24613296
StandUp Ventures,https://www.crunchbase.com/organization/standup-ventures-i,Oct 2024,7,18,0,7,0,0,0,558934216
Capnamic Ventures,https://www.crunchbase.com/organization/capnamic-ventures,Oct 2024,2,42,0,40,0,4,0,2733913834
Inspirit Foundation,https://www.crunchbase.com/organization/inspirit-foundation,Oct 2024,3,0,0,3,0,0,0,6600000
Magic Mind,https://www.crunchbase.com/organization/magic-mind-ddf0,Oct 2024,1,0,0,0,0,0,0,329460
Ram-On Investments and Holdings (1999),https://www.crunchbase.com/organization/ram-on-investments-and-holdings-1999,Oct 2024,0,4,0,4,0,0,0,102800000
Bridges Israel,https://www.crunchbase.com/organization/bridges-israel,Oct 2024,0,4,0,4,0,0,0,102800000
DC Thomson,https://www.crunchbase.com/organization/dc-thomson,Oct 2024,0,4,0,4,0,0,0,102800000
Amjad Masad,https://www.crunchbase.com/person/amjad-masad,Oct 2024,8,16,0,3,0,0,0,2619400000
Hyogo Kobe Startup Fund,https://www.crunchbase.com/organization/hyogo-kobe-startup-fund,Oct 2024,1,0,0,1,0,0,0,767106
Meta Journalism Project,https://www.crunchbase.com/organization/meta-journalism-project,Oct 2024,3,0,0,3,0,0,0,6600000
GxPartners,https://www.crunchbase.com/organization/gxpartners,Oct 2024,1,0,0,1,0,0,0,767106
Addition,https://www.crunchbase.com/organization/addition-7af4,Oct 2024,3,99,0,20,15,37,0,28709255129
OurCrowd,https://www.crunchbase.com/organization/ourcrowd,Oct 2024,4,132,0,54,50,7,0,8767294714
Colin Jones,https://www.crunchbase.com/person/colin-jones-0a3b,Oct 2024,1,0,0,0,0,0,0,35000000
Ten Eleven Ventures,https://www.crunchbase.com/organization/ten-eleven-ventures,Oct 2024,26,159,0,100,85,0,0,24016171842
Andy Price,https://www.crunchbase.com/person/andy-price-2,Oct 2024,1,0,0,0,0,0,0,35000000
Nevcaut Ventures,https://www.crunchbase.com/organization/nevcaut-ventures,Oct 2024,5,15,0,5,2,11,0,3460100000
Rockefeller Capital Management,https://www.crunchbase.com/organization/rockefeller-co,Oct 2024,0,17,0,4,0,13,0,6848985290
PROPELR Growth,https://www.crunchbase.com/organization/propelr-growth,Oct 2024,0,13,0,0,0,13,0,6418585290
Samsung NEXT,https://www.crunchbase.com/organization/samsungnext,Oct 2024,54,126,0,42,20,68,2,14879848375
Lunar Ventures,https://www.crunchbase.com/organization/lunar-ventures,Oct 2024,23,9,0,24,0,2,0,1213758250
First Principles Capital,https://www.crunchbase.com/organization/first-principles-capital,Oct 2024,0,1,0,1,0,0,0,0
Coinvest Capital,https://www.crunchbase.com/organization/coinvest-capital,Oct 2024,2,3,0,2,0,0,3,15911451
Practica Capital,https://www.crunchbase.com/organization/practica-capital,Oct 2024,20,6,0,10,0,13,0,1093765733
Jonathan Crystal,https://www.crunchbase.com/person/jonathan-crystal-c9b9,Oct 2024,9,0,0,2,7,0,0,109150000
Zero Prime Ventures,https://www.crunchbase.com/organization/data-community-fund,Oct 2024,8,16,0,4,0,0,0,964725875
A16Z GAMES Speedrun,https://www.crunchbase.com/organization/a16z-games,Oct 2024,1,0,0,0,0,0,0,3000000
Alorica,https://www.crunchbase.com/organization/alorica,Oct 2024,0,3,0,0,0,0,0,125000000
Israel - Colorado Innovation Fund,https://www.crunchbase.com/organization/israel-colorado-innovation-fund,Oct 2024,4,4,0,8,0,0,0,178400000
BDC,https://www.crunchbase.com/organization/bdc-2,Oct 2024,14,13,0,0,0,13,14,6495774220
Bootstrap Europe,https://www.crunchbase.com/organization/bootstrap-europe,Oct 2024,0,10,0,10,0,0,0,1182852980
Begin Capital,https://www.crunchbase.com/organization/begin-capital,Oct 2024,21,4,0,6,0,12,0,219938196
Corten Capital,https://www.crunchbase.com/organization/corten-capital,Oct 2024,0,1,0,1,0,0,0,0
Santander,https://www.crunchbase.com/organization/banco-santander,Oct 2024,9,21,0,6,0,9,2,285135866341
DTCP,https://www.crunchbase.com/organization/dtcp,Oct 2024,0,68,0,14,16,0,0,30552315345
Lithuanian Business Angel Network,https://www.crunchbase.com/organization/lithuanian-business-angel-network,Oct 2024,22,0,0,10,0,12,0,67538160
Donatas Dailide,https://www.crunchbase.com/person/donatas-dailide,Oct 2024,2,2,0,4,0,0,0,11815184
Aliaxis Group,https://www.crunchbase.com/organization/aliaxis-group,Oct 2024,0,15,0,15,0,0,0,595600000
Gradient,https://www.crunchbase.com/organization/gradient-ventures,Oct 2024,0,26,0,7,0,3,0,1411330000
Claroty,https://www.crunchbase.com/organization/claroty,Oct 2024,0,3,0,3,0,0,0,73500000
Lakestar,https://www.crunchbase.com/organization/lakestar,Oct 2024,24,119,0,19,37,66,14,43867978638
Next47,https://www.crunchbase.com/organization/next47,Oct 2024,0,70,0,15,11,16,0,13474012299
Jeff Lawson,https://www.crunchbase.com/person/jeff-lawson,Oct 2024,1,2,0,0,0,0,0,67000000
Maurice Beckand Verwee,https://www.crunchbase.com/person/maurice-beckand-verwee,Oct 2024,2,0,0,2,0,0,0,7503324
Altair Capital,https://www.crunchbase.com/organization/altair-capital,Oct 2024,2,9,0,2,0,5,4,254090000
ULTRA.VC,https://www.crunchbase.com/organization/ultra-vc,Oct 2024,4,0,0,4,0,0,0,5180000
Threshold,https://www.crunchbase.com/organization/threshold,Oct 2024,0,64,0,29,4,6,0,5157350000
Piotr Romanowski,https://www.crunchbase.com/person/piotr-romanowski,Oct 2024,2,0,0,2,0,0,0,7503324
Coralus,https://www.crunchbase.com/organization/sheeo,Oct 2024,3,0,0,3,0,0,0,6600000
Techstars,https://www.crunchbase.com/organization/techstars,Sep 2024,733,239,104,377,62,191,29,15172093494
Insight Partners,https://www.crunchbase.com/organization/insight-partners,Sep 2024,23,1060,62,211,167,275,47,277829740548
Index Ventures,https://www.crunchbase.com/organization/index-ventures,Sep 2024,64,423,46,79,73,148,24,132217682020
Accel,https://www.crunchbase.com/organization/accel,Sep 2024,71,566,35,146,97,165,27,161413091273
Bessemer Venture Partners,https://www.crunchbase.com/organization/bessemer-venture-partners,Sep 2024,48,516,35,159,86,168,27,250882107787
Gaingels,https://www.crunchbase.com/organization/gaing,Sep 2024,157,407,31,153,24,207,58,165905609882
Sequoia Capital,https://www.crunchbase.com/organization/sequoia-capital,Sep 2024,76,667,31,181,121,171,22,910941654869
Inovia Capital,https://www.crunchbase.com/organization/inovia-capital,Sep 2024,84,126,31,38,12,73,14,39863108947
IVP,https://www.crunchbase.com/organization/institutional-venture-partners,Sep 2024,5,196,28,46,11,57,14,72815344980
JME Ventures,https://www.crunchbase.com/organization/fundacin-jos-manuel-entrecanales,Sep 2024,20,16,25,0,1,3,6,628693748
Molten Ventures,https://www.crunchbase.com/organization/draper-esprit,Sep 2024,5,127,24,24,13,52,12,19296316451
Headline,https://www.crunchbase.com/organization/headlinevc,Sep 2024,37,221,24,28,21,113,7,56400425051
Valar Ventures,https://www.crunchbase.com/organization/valar-ventures,Sep 2024,21,169,24,1,0,152,13,37053496101
CIBC Innovation Banking,https://www.crunchbase.com/organization/cibc-innovation-banking,Sep 2024,5,164,24,33,50,36,12,24127168191
Silicon Valley Bank,https://www.crunchbase.com/organization/silicon-valley-bank,Sep 2024,0,334,23,57,53,144,7,116544969132
Andreessen Horowitz,https://www.crunchbase.com/organization/andreessen-horowitz,Sep 2024,88,721,23,206,65,278,44,1081070212731
American Express Ventures,https://www.crunchbase.com/organization/american-express-ventures,Sep 2024,14,129,22,25,9,78,0,16911400000
Menlo Ventures,https://www.crunchbase.com/organization/menlo-ventures,Sep 2024,29,290,22,58,68,67,0,208458711642
Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,Sep 2024,271,141,21,146,37,110,28,10296619020
First Round Capital,https://www.crunchbase.com/organization/first-round-capital,Sep 2024,50,94,20,34,36,24,6,14887498948
Benchmark,https://www.crunchbase.com/organization/benchmark,Sep 2024,23,109,20,13,11,36,0,19559595298
Project A Ventures,https://www.crunchbase.com/organization/project-a-ventures,Sep 2024,22,38,19,3,4,21,0,9227707707
Left Lane Capital,https://www.crunchbase.com/organization/left-lane-capital,Sep 2024,4,133,19,25,7,56,24,15950133012
New Enterprise Associates,https://www.crunchbase.com/organization/new-enterprise-associates,Sep 2024,32,326,19,97,66,44,21,150009653418
Seedcamp,https://www.crunchbase.com/organization/seedcamp,Sep 2024,103,114,18,60,37,60,11,13113766663
Valor Capital Group,https://www.crunchbase.com/organization/valor-capital,Sep 2024,31,103,18,23,4,66,17,9299286449
Forefront Venture Partners,https://www.crunchbase.com/organization/forefront-venture-partners,Sep 2024,6,48,18,6,6,4,0,768592876
Flashpoint,https://www.crunchbase.com/organization/flashpointvc,Sep 2024,0,72,18,3,0,34,0,9361089948
Antler,https://www.crunchbase.com/organization/antler-be9c,Sep 2024,231,77,18,83,11,154,13,5024078447
Earlybird Venture Capital,https://www.crunchbase.com/organization/earlybird-venture-capital,Sep 2024,36,100,18,19,13,25,29,16317508467
Streamlined Ventures,https://www.crunchbase.com/organization/streamlined-ventures,Sep 2024,32,85,18,49,0,21,8,9897040000
Elevation Capital,https://www.crunchbase.com/organization/elevation-capital-6e8a,Sep 2024,14,81,18,18,0,21,14,6452055646
South Park Commons,https://www.crunchbase.com/organization/south-park-commons,Sep 2024,49,54,17,32,2,25,0,5156297960
Coatue,https://www.crunchbase.com/organization/coatue,Sep 2024,31,344,17,74,35,147,2,302222219806
Notion Capital,https://www.crunchbase.com/organization/notion-capital,Sep 2024,40,196,17,34,41,93,18,34537628878
LiveOak Ventures,https://www.crunchbase.com/organization/liveoak-venture-partners,Sep 2024,0,20,16,0,0,0,0,3783600000
Peak XV Partners,https://www.crunchbase.com/organization/sequoia-india-2,Sep 2024,4,99,16,9,1,50,2,13881145046
Stephens Group,https://www.crunchbase.com/organization/stephens-group,Sep 2024,0,26,16,6,4,0,0,4001600000
HearstLab,https://www.crunchbase.com/organization/hearstlab-36b3,Sep 2024,16,13,15,8,0,4,0,436245728
Norwest Venture Partners,https://www.crunchbase.com/organization/norwest-venture-partners,Sep 2024,13,219,15,50,31,63,7,28874305770
Moneta Ventures,https://www.crunchbase.com/organization/moneta-ventures,Sep 2024,13,29,15,12,0,3,5,890624948
Citi Ventures,https://www.crunchbase.com/organization/citi-ventures,Sep 2024,2,224,14,37,33,92,21,47700010518
Next Coast Ventures,https://www.crunchbase.com/organization/next-coast-ventures-2,Sep 2024,26,30,14,12,10,19,0,1741144000
Craft Ventures,https://www.crunchbase.com/organization/craft-ventures,Sep 2024,45,143,14,67,0,60,0,23345024501
Soma Capital,https://www.crunchbase.com/organization/soma-capital,Sep 2024,154,48,13,51,10,85,11,5122959748
WiL (World Innovation Lab),https://www.crunchbase.com/organization/wil,Sep 2024,0,32,13,3,0,9,0,8341618674
GGV Capital,https://www.crunchbase.com/organization/ggv-capital,Sep 2024,22,173,13,58,17,67,0,23633722062
Octopus Ventures,https://www.crunchbase.com/organization/octopus-ventures,Sep 2024,33,118,13,33,33,34,5,6981303019
Bain Capital Ventures,https://www.crunchbase.com/organization/bain-capital-ventures,Sep 2024,38,351,13,108,47,123,6,54935098550
SV Angel,https://www.crunchbase.com/organization/sv-angel,Sep 2024,68,106,13,19,7,61,18,26554181825
Liquid 2 Ventures,https://www.crunchbase.com/organization/liquid2-ventures,Sep 2024,98,63,13,50,20,36,4,3160996299
K20 Fund,https://www.crunchbase.com/organization/k20-fund,Sep 2024,12,31,12,22,0,0,2,682004300
NewView Capital,https://www.crunchbase.com/organization/newview-capital,Sep 2024,0,91,12,27,4,22,0,16537260000
Norte Ventures,https://www.crunchbase.com/organization/norte-ventures,Sep 2024,23,40,12,1,4,34,0,2337320302
Fifth Wall,https://www.crunchbase.com/organization/fifth-wall-ventures-management,Sep 2024,25,113,12,60,0,55,11,30554395200
Summit Partners,https://www.crunchbase.com/organization/summit-partners,Sep 2024,0,74,12,12,11,26,2,14434210702
Pelion Venture Partners,https://www.crunchbase.com/organization/pelion-venture-partners,Sep 2024,19,69,12,13,43,14,0,6693540000
BEENEXT,https://www.crunchbase.com/organization/bee-next,Sep 2024,20,68,12,23,6,33,11,4808809425
SAP,https://www.crunchbase.com/organization/sap,Sep 2024,0,85,11,2,0,7,0,326185717255
Georgian,https://www.crunchbase.com/organization/georgian-partners,Sep 2024,2,142,11,39,50,6,10,37423394615
NFX,https://www.crunchbase.com/organization/nfxcapital,Sep 2024,63,95,11,23,16,86,6,10081928200
Coinbase Ventures,https://www.crunchbase.com/organization/coinbase-ventures,Sep 2024,67,183,11,20,8,163,45,27131928153
TPG,https://www.crunchbase.com/organization/texas-pacific-group,Sep 2024,0,50,10,23,1,12,2,51835170500
Blue Heron Capital,https://www.crunchbase.com/organization/blue-heron-capital,Sep 2024,0,17,10,0,4,0,0,603900000
Day One Ventures,https://www.crunchbase.com/organization/day-one-ventures,Sep 2024,30,31,10,7,0,12,5,1950121806
Blockchain Founders Fund,https://www.crunchbase.com/organization/blockchain-founders-fund,Sep 2024,67,22,10,10,5,38,25,782659570
Jeff Dean,https://www.crunchbase.com/person/jeff-dean-2,Sep 2024,10,12,10,2,0,1,2,3118300000
Picus Capital,https://www.crunchbase.com/organization/picus-capital,Sep 2024,58,146,9,39,9,132,7,38933913398
Khosla Ventures,https://www.crunchbase.com/organization/khosla-ventures,Sep 2024,38,213,9,63,25,42,17,42073260320
Sahin Boydas,https://www.crunchbase.com/person/sahin,Sep 2024,12,88,9,23,11,30,6,112437995000
Crosslink Capital,https://www.crunchbase.com/organization/crosslink-capital,Sep 2024,27,139,9,73,25,48,5,16539090000
OnDean,https://www.crunchbase.com/organization/ondean,Sep 2024,5,4,9,0,0,0,0,48955388
Battery Ventures,https://www.crunchbase.com/organization/battery-ventures,Sep 2024,9,216,9,67,56,61,0,39280785419
Michigan Capital Network,https://www.crunchbase.com/organization/michigan-capital-network,Sep 2024,9,7,9,7,0,0,0,453010000
Lux Capital,https://www.crunchbase.com/organization/lux-capital,Sep 2024,13,158,9,38,29,38,1,51465233950
Uncork Capital,https://www.crunchbase.com/organization/softtech-vc,Sep 2024,22,63,9,44,6,6,1,3416630000
Edison Partners,https://www.crunchbase.com/organization/edison-ventures,Sep 2024,11,87,8,50,27,12,0,11599695420
SMBC Venture Capital,https://www.crunchbase.com/organization/smbc-venture-capital,Sep 2024,5,33,8,4,2,24,0,6081040472
Ironspring Ventures,https://www.crunchbase.com/organization/ironspring,Sep 2024,9,19,8,12,6,0,0,690400000
Cornerstone VC,https://www.crunchbase.com/organization/cornerstone-vc,Sep 2024,4,8,8,3,0,0,0,100498204
Global Brain Corporation,https://www.crunchbase.com/organization/global-brain-corporation,Sep 2024,5,170,8,61,21,15,0,21748160502
Pi Labs,https://www.crunchbase.com/organization/pi-labs-2,Sep 2024,26,9,8,19,0,1,0,224232317
Zacua Ventures,https://www.crunchbase.com/organization/zacua-ventures,Sep 2024,18,4,8,10,0,4,0,201298908
MANTIS Venture Capital,https://www.crunchbase.com/organization/mantis-venture-capital,Sep 2024,9,39,8,14,3,11,8,6368908000
8VC,https://www.crunchbase.com/organization/8vc,Sep 2024,53,174,8,70,24,39,31,49577993500
Company Ventures,https://www.crunchbase.com/organization/company-ventures,Sep 2024,19,41,8,2,2,34,3,16546860000
Argonautic Ventures,https://www.crunchbase.com/organization/argonautic-ventures,Sep 2024,22,16,8,8,0,12,0,534460000
Mindset Ventures,https://www.crunchbase.com/organization/mindset-ventures,Sep 2024,12,34,8,16,2,4,0,1374023360
Salesforce Ventures,https://www.crunchbase.com/organization/salesforce-ventures,Sep 2024,47,473,8,173,65,82,6,221631067734
Amazon Web Services,https://www.crunchbase.com/organization/amazon-web-services,Sep 2024,0,50,7,25,0,0,3,47225759
Dig Ventures,https://www.crunchbase.com/organization/dig-ventures,Sep 2024,10,16,7,0,3,2,0,1180693917
G2 Venture Partners,https://www.crunchbase.com/organization/g2vp,Sep 2024,3,40,7,27,0,0,0,12977946833
Multicoin Capital,https://www.crunchbase.com/organization/multicoin-capital,Sep 2024,33,46,7,21,0,51,0,6223420961
Bank of America,https://www.crunchbase.com/organization/bank-of-america,Sep 2024,5,96,7,32,0,45,17,29496499985
Moxxie Ventures,https://www.crunchbase.com/organization/moxxie-ventures,Sep 2024,5,46,7,37,0,1,0,6725416777
Harbert Growth Partners,https://www.crunchbase.com/organization/harbert-growth-partners,Sep 2024,0,36,7,0,4,5,0,1502700000
Merlin Ventures,https://www.crunchbase.com/organization/merlin-ventures,Sep 2024,7,16,6,6,11,0,0,1295700000
Endeavor Miami,https://www.crunchbase.com/organization/endeavor-miami,Sep 2024,0,13,6,1,2,4,0,139800000
Morgan Stanley Expansion Capital,https://www.crunchbase.com/organization/morgan-stanley-expansion-capital,Sep 2024,0,71,6,10,3,33,0,7022239706
WestWave Capital,https://www.crunchbase.com/organization/westwave-capital,Sep 2024,33,29,6,21,10,6,0,1365676000
Meritech Capital Partners,https://www.crunchbase.com/organization/meritech-capital-partners,Sep 2024,0,204,6,76,35,15,0,77763984950
ES Investor,https://www.crunchbase.com/organization/es-investor,Sep 2024,0,12,6,0,6,0,0,190275810
Anthemis,https://www.crunchbase.com/organization/anthemis-group,Sep 2024,16,83,6,47,26,15,5,5695844834
OpenView,https://www.crunchbase.com/organization/openview-venture-partners,Sep 2024,2,82,6,22,4,12,0,11388938560
Scribble Ventures,https://www.crunchbase.com/organization/scribble-ventures,Sep 2024,23,60,6,46,4,17,4,8905324267
Smilegate Investment,https://www.crunchbase.com/organization/smilegate-investment,Sep 2024,14,14,6,8,0,8,1,407310313
City Light Capital,https://www.crunchbase.com/organization/city-light-capital,Sep 2024,10,22,6,12,14,0,0,1615600000
Scale Venture Partners,https://www.crunchbase.com/organization/scale-venture-partners,Sep 2024,1,105,6,25,22,3,0,12628654213
Ocean Azul Partners,https://www.crunchbase.com/organization/ocean-azul-partners,Sep 2024,23,17,6,8,0,12,0,529900000
Zeal Capital Partners,https://www.crunchbase.com/organization/zeal-capital-partners,Sep 2024,20,14,6,0,16,12,0,437680000
Ventech,https://www.crunchbase.com/organization/ventech-capital,Sep 2024,8,27,6,8,2,0,0,1319484018
Baird Capital,https://www.crunchbase.com/organization/baird-capital,Sep 2024,0,45,6,17,12,0,0,1888000000
Scale-Up Ventures,https://www.crunchbase.com/organization/scale-up-ventures,Sep 2024,11,42,5,5,4,28,6,2319683512
Portfolio Ventures,https://www.crunchbase.com/organization/portfolio-ventures,Sep 2024,17,16,5,2,6,16,0,361084525
Outward VC,https://www.crunchbase.com/organization/outward-vc,Sep 2024,17,40,5,5,5,36,6,17945471197
QBE Ventures,https://www.crunchbase.com/organization/qbe-ventures,Sep 2024,0,9,5,4,0,0,0,416500000
Animoca Brands,https://www.crunchbase.com/organization/animoca-brands-corporation,Sep 2024,62,111,5,7,2,139,11,9251412530
Accomplice,https://www.crunchbase.com/organization/accomplice-atlas-venture,Sep 2024,30,88,5,19,12,46,7,10776540000
Village Global,https://www.crunchbase.com/organization/village-global-2,Sep 2024,77,37,5,33,10,46,9,5490107234
Radian Capital,https://www.crunchbase.com/organization/radian-capital,Sep 2024,0,24,5,0,10,9,0,1478280000
Susa Ventures,https://www.crunchbase.com/organization/susa-ventures,Sep 2024,32,44,5,35,8,14,8,6663204100
LocalGlobe,https://www.crunchbase.com/organization/localglobe,Sep 2024,53,104,5,39,13,66,11,29367863878
Eniac Ventures,https://www.crunchbase.com/organization/eniac-ventures,Sep 2024,36,51,5,17,6,10,0,2684574188
Sten Tamkivi,https://www.crunchbase.com/person/sten-kamkivi,Sep 2024,14,7,5,0,3,11,2,385666450
East Ventures,https://www.crunchbase.com/organization/east-ventures,Sep 2024,32,37,5,14,1,46,3,5027310920
Camber Creek,https://www.crunchbase.com/organization/camber-creek,Sep 2024,9,125,5,35,0,92,0,25746400000
Turbostart,https://www.crunchbase.com/organization/turbostart,Sep 2024,9,0,4,0,0,3,2,29800000
Permira,https://www.crunchbase.com/organization/permira,Sep 2024,0,79,4,24,10,14,19,38625900000
Techstars New Orleans,https://www.crunchbase.com/organization/techstars-new-orleans,Sep 2024,2,4,4,2,0,0,0,1600000
Recursive Ventures,https://www.crunchbase.com/organization/recursive-ventures,Sep 2024,23,0,4,3,0,4,1,708800000
Point32Health Foundation,https://www.crunchbase.com/organization/point32health-foundation,Sep 2024,0,6,4,2,0,0,0,180000
Emergence,https://www.crunchbase.com/organization/emergence-capital-partners,Sep 2024,2,72,4,13,3,35,0,8165688000
